# timestamp, timestep, pktv4counts, pktv6counts
1548997201.469922, 0, 105422, 1721
1548997202.469922, 1, 111708, 2428
1548997203.469922, 2, 113682, 2865
1548997204.469922, 3, 119691, 1960
1548997205.469922, 4, 121362, 4357
1548997206.469922, 5, 111259, 2897
1548997207.469922, 6, 116533, 2663
1548997208.469922, 7, 112804, 4318
1548997209.469922, 8, 116633, 2303
1548997210.469922, 9, 108785, 2105
1548997211.469922, 10, 113016, 3044
1548997212.469922, 11, 107323, 2294
1548997213.469922, 12, 110768, 2919
1548997214.469922, 13, 119394, 4927
1548997215.469922, 14, 117570, 3217
1548997216.469922, 15, 123765, 3620
1548997217.469922, 16, 120551, 4121
1548997218.469922, 17, 118141, 3352
1548997219.469922, 18, 117786, 3302
1548997220.469922, 19, 114235, 1969
1548997221.469922, 20, 121743, 2723
1548997222.469922, 21, 118069, 2729
1548997223.469922, 22, 120503, 3360
1548997224.469922, 23, 131502, 3334
1548997225.469922, 24, 119717, 2784
1548997226.469922, 25, 104048, 2979
1548997227.469922, 26, 120543, 6760
1548997228.469922, 27, 129728, 5127
1548997229.469922, 28, 130968, 7713
1548997230.469922, 29, 121467, 3410
1548997231.469922, 30, 116672, 6647
1548997232.469922, 31, 110777, 2776
1548997233.469922, 32, 126065, 3811
1548997234.469922, 33, 115657, 2441
1548997235.469922, 34, 125497, 2513
1548997236.469922, 35, 115692, 1551
1548997237.469922, 36, 119586, 1322
1548997238.469922, 37, 116912, 1795
1548997239.469922, 38, 128316, 2779
1548997240.469922, 39, 122082, 1931
1548997241.469922, 40, 137113, 2379
1548997242.469922, 41, 131244, 2818
1548997243.469922, 42, 135746, 2361
1548997244.469922, 43, 119631, 2132
1548997245.469922, 44, 123824, 2522
1548997246.469922, 45, 116410, 1992
1548997247.469922, 46, 105934, 1301
1548997248.469922, 47, 107798, 2915
1548997249.469922, 48, 106603, 3222
1548997250.469922, 49, 101297, 3343
1548997251.469922, 50, 102872, 2509
1548997252.469922, 51, 118017, 2236
1548997253.469922, 52, 126365, 1527
1548997254.469922, 53, 118433, 2733
1548997255.469922, 54, 114269, 1454
1548997256.469922, 55, 107350, 2173
1548997257.469922, 56, 88861, 2334
1548997258.469922, 57, 83006, 5401
1548997259.469922, 58, 111546, 4239
1548997260.469922, 59, 94605, 2315
1548997261.469922, 60, 96121, 3940
1548997262.469922, 61, 86583, 2083
1548997263.469922, 62, 88788, 2184
1548997264.469922, 63, 98125, 32307
1548997265.469922, 64, 110954, 13699
1548997266.469922, 65, 106867, 13887
1548997267.469922, 66, 105757, 7507
1548997268.469922, 67, 112380, 4397
1548997269.469922, 68, 119684, 1948
1548997270.469922, 69, 115755, 2820
1548997271.469922, 70, 106156, 2269
1548997272.469922, 71, 100946, 4166
1548997273.469922, 72, 118571, 4803
1548997274.469922, 73, 124325, 3197
1548997275.469922, 74, 123104, 6008
1548997276.469922, 75, 119800, 5717
1548997277.469922, 76, 122957, 3112
1548997278.469922, 77, 108246, 3653
1548997279.469922, 78, 116309, 7264
1548997280.469922, 79, 119498, 2678
1548997281.469922, 80, 108689, 2331
1548997282.469922, 81, 109250, 1238
1548997283.469922, 82, 109097, 1056
1548997284.469922, 83, 129032, 1421
1548997285.469922, 84, 123991, 1759
1548997286.469922, 85, 116581, 1287
1548997287.469922, 86, 123076, 1795
1548997288.469922, 87, 118075, 2657
1548997289.469922, 88, 126807, 1853
1548997290.469922, 89, 113466, 2787
1548997291.469922, 90, 127633, 1544
1548997292.469922, 91, 122971, 1548
1548997293.469922, 92, 126323, 1858
1548997294.469922, 93, 121519, 1329
1548997295.469922, 94, 122928, 1836
1548997296.469922, 95, 131611, 2939
1548997297.469922, 96, 122780, 4411
1548997298.469922, 97, 132472, 5671
1548997299.469922, 98, 129719, 7686
1548997300.469922, 99, 118551, 7460
1548997301.469922, 100, 107170, 8743
1548997302.469922, 101, 102043, 10975
1548997303.469922, 102, 109991, 11444
1548997304.469922, 103, 125230, 9956
1548997305.469922, 104, 130951, 8153
1548997306.469922, 105, 115091, 9312
1548997307.469922, 106, 110938, 9915
1548997308.469922, 107, 105391, 9867
1548997309.469922, 108, 109878, 8613
1548997310.469922, 109, 108845, 5577
1548997311.469922, 110, 109849, 3542
1548997312.469922, 111, 113236, 4414
1548997313.469922, 112, 116081, 3854
1548997314.469922, 113, 107318, 3589
1548997315.469922, 114, 104200, 6442
1548997316.469922, 115, 117024, 5833
1548997317.469922, 116, 112915, 3787
1548997318.469922, 117, 113919, 7999
1548997319.469922, 118, 109980, 7904
1548997320.469922, 119, 104538, 7189
